DIAS ,T1,T2,P1,P2,R,S
1,29,15,1013.2,524.06,10,0
2,31,14,1012.6,457.3,9.7,0
3,32,14,1014.1,443.67,8.9,0
4,34,15,1013.2,447,8.9,0
5,32,16,1013.1,506.55,9.9,0
6,31,15,1012.5,489.92,9.1,0
7,28,14,1013.5,506.75,9.3,0
8,32,16,1013.2,506.6,8.4,0
9,35,16,1013.3,463.22,10.2,0
10,33,16,1014.6,491.93,9.4,0
11,34,16,1012.9,-50,9,0
12,30,15,1012.7,506.35,8.8,0
13,30,14,1013.9,473.15,9.4,0
14,32,17,1014.6,539.01,8.9,0
15,31,15,1014.5,490.89,7.6,0
16,32,16,1015.9,507.95,7.8,0
17,30,16,1014.9,541.28,8.7,0
18,25,15,1015.4,609.24,10.1,0
19,25,16,1018.6,651.9,6.9,0
20,27,15,1016.1,564.5,7.6,0
21,28,15,1016.7,544.66,9.7,0
22,30,15,1016.6,508.3,8.9,0
23,30,16,1015.1,541.39,8.4,0
24,32,15,1014.9,475.73,8.1,0
25,32,16,1013.7,506.85,9.1,0
26,32,16,1012.7,506.35,9.6,0
27,31,16,1013.4,523.05,8.6,0
28,31,16,1014.3,523.51,8.1,0
29,32,15,1014,475.31,8.3,0
30,31,15,1014.1,490.69,9.1,0
31,33,16,1013,491.15,8.5,0
32,32,16,1014,507,8.6,0
33,32,17,1013.7,538.53,9.4,0
34,31,16,1013.5,523.1,9,0
35,31,15,1012.2,489.77,7.1,0
36,29,15,1013.1,524.02,8.3,0
37,31,16,1014.9,523.82,8.2,0
38,30,15,1015.4,507.7,8.7,0
39,29,14,1016.4,490.68,8.4,0
40,24,14,1016,592.67,6.6,0
41,30,14,1017,474.6,7.4,0
42,32,16,1016.4,508.2,8.9,0
43,34,14,1015.7,418.23,7.7,0
44,34,17,1012.9,506.45,6.9,0
45,30,16,1014.6,541.12,7.8,0
46,30,14,1014.3,473.34,8.9,0
47,30,15,1014.2,507.1,8.2,0
48,31,15,1013.2,490.26,7.8,0
49,27,15,1013.5,563.06,9.6,0
50,26,11,1014.5,429.21,8.5,0
51,24,15,1015.3,634.56,4.6,0
52,28,12,1016.8,435.77,7.3,0
53,30,14,1017,474.6,7.8,0
54,31,15,1014.1,490.69,8.5,0
55,21,13,1015.8,628.83,8.8,0
56,28,15,1012.2,542.25,8.4,0
57,17,13,1012.3,774.11,6.5,0
58,27,13,1015.1,488.75,6.4,0
59,25,14,1016.8,569.41,7.4,0
60,29,13,1016.1,455.49,8.5,0
61,28,13,1014.8,471.16,7.1,0
62,28,13,1014.2,470.88,7.9,0
63,29,13,1013.8,454.46,8,0
64,30,13,1013.3,439.1,6.2,0
65,28,19,1013.9,688,10.1,0
66,28,12,1015.5,435.21,7.9,0
67,30,14,1012.7,472.59,7.2,0
68,33,16,1011.3,490.33,6,0
69,34,15,1010.6,445.85,7.4,0
70,33,17,1010.3,520.46,8.4,0
71,31,16,1012.5,522.58,8,0
72,30,15,1013.5,506.75,6.8,0
73,30,13,1014.2,439.49,7.8,0
74,32,13,1012.5,411.33,6.4,0
75,31,14,1014.5,458.16,7.4,0
76,31,13,1015.7,425.94,5.7,0
77,32,14,1014.8,443.98,6,0
78,31,14,1016,458.84,7.4,0
79,35,15,1016.2,435.51,9.8,0
80,31,16,1015.1,523.92,7.4,0
81,27,13,1015.5,488.94,8.4,0
82,21,16,1016.3,774.32,6.6,1.3
83,20,15,1016.5,762.38,6.3,3
84,24,15,1015,634.38,3.9,2.5
85,25,14,1018.9,570.58,8.2,0
86,27,12,1018.6,452.71,5.9,0
87,29,12,1019.9,422.03,7.4,0
88,28,13,1017.6,472.46,5.6,0
89,24,14,1018.2,593.95,7.6,0
90,28,11,1017.3,399.65,6,0
91,29,12,1016.7,420.7,6.4,0
