SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,DMDHHSIZ,INDHHIN2
73557,8,2,1,69,,4,4,1.0,,1.0,1.0,1,1.0,,,3.0,4.0,,1,3,4.0
73558,8,2,1,54,,3,3,1.0,,2.0,,1,1.0,,,3.0,1.0,,1,4,7.0
73559,8,2,1,72,,3,3,2.0,,1.0,1.0,1,1.0,,,4.0,1.0,,1,2,10.0
73560,8,2,1,9,,3,3,1.0,119.0,,,1,1.0,,3.0,,,,1,4,9.0
73561,8,2,2,73,,3,3,1.0,,2.0,,1,1.0,,,5.0,1.0,,1,2,15.0
73562,8,2,1,56,,1,1,1.0,,1.0,2.0,1,1.0,,,4.0,3.0,,1,1,9.0
73563,8,2,1,0,5.0,3,3,2.0,6.0,,,1,1.0,,,,,,1,3,15.0
73564,8,2,2,61,,3,3,2.0,,2.0,,1,1.0,,,5.0,2.0,,1,1,10.0
73565,8,1,1,42,,2,2,,,2.0,,1,1.0,,,3.0,1.0,,1,4,15.0
73566,8,2,2,56,,3,3,1.0,,2.0,,1,1.0,,,3.0,3.0,,1,7,4.0
73567,8,2,1,65,,3,3,2.0,,2.0,,1,1.0,,,2.0,2.0,,1,1,3.0
73568,8,2,2,26,,3,3,2.0,,2.0,,1,1.0,,,5.0,5.0,2.0,1,3,15.0
73569,8,1,2,0,10.0,5,7,,,,,1,1.0,,,,,,1,4,77.0
73570,8,2,2,9,,5,7,1.0,109.0,,,1,1.0,,2.0,,,,1,4,5.0
73571,8,2,1,76,,3,3,1.0,,2.0,,1,1.0,,,5.0,1.0,,1,2,14.0
73572,8,2,2,10,,4,4,1.0,125.0,,,1,1.0,,3.0,,,,1,3,2.0
73573,8,2,1,10,,4,4,1.0,128.0,,,1,1.0,,4.0,,,,1,5,8.0
73574,8,2,2,33,,5,6,1.0,,2.0,,2,1.0,4.0,,5.0,1.0,2.0,1,4,8.0
73575,8,2,1,1,18.0,4,4,1.0,19.0,,,1,1.0,,,,,,1,2,3.0
73576,8,2,1,16,,4,4,2.0,194.0,,,1,1.0,,9.0,,,,1,6,8.0
73577,8,2,1,32,,1,1,1.0,,2.0,,2,2.0,4.0,,1.0,6.0,,2,7,5.0
73578,8,2,1,18,,1,1,1.0,218.0,2.0,,1,1.0,,15.0,,,,1,7,5.0
