;DC;AREA;ZC_LOC;ID_ZONA_LOC;NVIV;NHOGAR;PERSONAN;P07;P08;P09;P10;P10COMUNA;P10PAIS;P11;P11COMUNA;P11PAIS;P12;P12COMUNA;P12PAIS;P12A_LLEGADA;P12A_TRAMO;P13;P14;P15;P15A;P16;P16A;P16A_OTRO;P17;P18;P19;P20;P21M;P21A;P10PAIS_GRUPO;P11PAIS_GRUPO;P12PAIS_GRUPO;ESCOLARIDAD;P16A_GRUPO;REGION_15R;PROVINCIA_15R;COMUNA_15R;P10COMUNA_15R;P11COMUNA_15R;P12COMUNA_15R;REGION_PROVINCIA_COMUNA
12675986;6.0;1.0;6.0;11249.0;259.0;1.0;1.0;1.0;1.0;60.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;8.0;5.0;1.0;2.0;98.0;98.0;1.0;D;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;8.0;98.0;7.0;71.0;7101.0;98.0;98.0;98.0;7_71_7101
11868402;4.0;1.0;3.0;2058.0;672.0;1.0;1.0;1.0;1.0;25.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13101.0;998.0;9998.0;98.0;1.0;2.0;11.0;1.0;;98.0;98.0;1.0;Z;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;14.0;98.0;7.0;74.0;7406.0;98.0;98.0;13101.0;7_74_7406
12805780;13.0;1.0;5.0;12425.0;770.0;1.0;2.0;2.0;2.0;53.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;8301.0;998.0;9998.0;98.0;2.0;7.0;5.0;2.0;2.0;98.0;98.0;1.0;I;2.0;2.0;6.0;2003.0;998.0;998.0;998.0;7.0;98.0;7.0;71.0;7101.0;98.0;98.0;8301.0;7_71_7101
12220235;6.0;1.0;1.0;10965.0;728.0;1.0;6.0;5.0;1.0;40.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;7108.0;998.0;9998.0;98.0;2.0;1.0;7.0;2.0;2.0;98.0;98.0;1.0;Z;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;9.0;98.0;7.0;73.0;7304.0;98.0;98.0;7108.0;7_73_7304
12289532;5.0;1.0;4.0;1393.0;842.0;1.0;4.0;5.0;2.0;1.0;1.0;98.0;998.0;1.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;3.0;98.0;98.0;98.0;1.0;1.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;0.0;1.0;7.0;73.0;7301.0;98.0;98.0;98.0;7_73_7301
12353225;10.0;1.0;5.0;13785.0;110.0;1.0;3.0;5.0;2.0;0.0;1.0;98.0;998.0;1.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;0.0;1.0;99.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;0.0;98.0;7.0;73.0;7301.0;98.0;98.0;98.0;7_73_7301
11822233;3.0;1.0;2.0;15486.0;307.0;1.0;3.0;5.0;2.0;42.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;7401.0;998.0;9998.0;98.0;2.0;2.0;11.0;2.0;2.0;98.0;98.0;1.0;I;1.0;1.0;5.0;2002.0;998.0;998.0;998.0;14.0;98.0;7.0;74.0;7408.0;98.0;98.0;7401.0;7_74_7408
12491326;10.0;2.0;41.0;4477.0;202.0;1.0;1.0;1.0;1.0;41.0;1.0;98.0;998.0;2.0;98.0;998.0;8.0;98.0;56.0;2004.0;2.0;2.0;;12.0;1.0;2.0;98.0;98.0;1.0;N;98.0;98.0;98.0;9998.0;998.0;998.0;150.0;17.0;98.0;7.0;71.0;7109.0;98.0;98.0;98.0;7_71_7109
12589349;1.0;2.0;27.0;12646.0;73.0;1.0;4.0;11.0;2.0;19.0;1.0;98.0;998.0;3.0;13122.0;998.0;2.0;13122.0;998.0;9998.0;98.0;2.0;1.0;7.0;2.0;2.0;98.0;98.0;1.0;N;1.0;1.0;4.0;2016.0;998.0;998.0;998.0;9.0;98.0;7.0;71.0;7103.0;98.0;13122.0;13122.0;7_71_7103
12627234;3.0;1.0;2.0;11147.0;795.0;1.0;1.0;1.0;1.0;54.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;8305.0;998.0;9998.0;98.0;2.0;1.0;8.0;2.0;2.0;98.0;98.0;1.0;Z;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;9.0;98.0;7.0;71.0;7102.0;98.0;98.0;8305.0;7_71_7102
12015411;2.0;1.0;2.0;5069.0;177.0;1.0;4.0;15.0;2.0;21.0;1.0;98.0;998.0;3.0;7408.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;4.0;7.0;1.0;2.0;98.0;98.0;1.0;A;1.0;1.0;1.0;2012.0;998.0;998.0;998.0;12.0;98.0;7.0;74.0;7401.0;98.0;7408.0;98.0;7_74_7401
